,FN,LN,School,Department,City,State,OQ,WTA,LOD,gives good feedback,respected,lots of homework,accessible outside class,get ready to read,participation matters,skip class? you won't pass.,inspirational,graded by few things,test heavy,group projects,clear grading criteria,hilarious,beware of pop quizzes,amazing lectures,lecture heavy,caring,extra credit,so many papers,tough grader
757,Leroy,Jones,Boston University,Economics,Boston,MA,4.5,N/,3.4,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
758,Walter,Connor,Boston University,Political Science,Boston,MA,2.9,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
759,Erin,Murphy,Boston University,English,Boston,MA,4.2,N/,3.3,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1
760,Enrique,Bernales,Boston University,Languages,Boston,MA,3.1,N/,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
761,Nancy,Nelson,Boston University,Writing,Boston,MA,4.0,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
762,Joel,Hoff,Boston University,Writing,Boston,MA,2.3,N/,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
763,Garth,Green,Boston University,Religion,Boston,MA,4.0,N/,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
764,Steve,Haines,Boston University,Journalism,Boston,MA,4.2,100,3.0,4,2,1,0,0,1,1,3,0,0,0,0,0,0,0,2,2,0,0,1
765,Bani,Ghosh,Boston University,Economics,Boston,MA,4.4,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
766,Sherry,Nelson,Boston University,Anthropology,Boston,MA,3.4,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
767,Patricia,Stuelke,Boston University,History,Boston,MA,3.2,N/,3.9,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
768,Suzanne,Sreedhar,Boston University,Philosophy,Boston,MA,4.7,N/,2.6,1,0,3,0,2,0,3,2,0,1,0,2,0,1,2,0,0,0,0,1
769,Seth,Blumenthal,Boston University,History,Boston,MA,4.0,88,3.3,8,0,0,1,3,2,2,2,1,0,0,0,4,0,0,0,2,0,0,6
770,Ivan,Eubanks,Boston University,Writing,Boston,MA,4.5,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,Brian,Kyte,Boston University,Chemistry,Boston,MA,2.2,N/,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
772,Michael,Dodge,Boston University,Communication,Boston,MA,4.4,N/,2.0,5,0,0,0,0,1,1,3,0,0,0,2,0,0,0,0,1,1,0,0
773,Kenneth,Adams,Boston University,Biology,Boston,MA,4.8,N/,2.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
774,Evimaria,Terzi,Boston University,Computer Science,Boston,MA,2.3,N/,4.4,0,0,2,0,1,0,0,1,0,0,0,0,1,0,2,0,0,0,0,3
775,Guanglan,Zhang,Boston University,Computer Science,Boston,MA,3.7,N/,2.2,5,1,5,0,0,1,0,1,0,0,0,0,0,0,2,2,1,0,0,0
776,Ishita,Dey,Boston University,Economics,Boston,MA,3.1,39,3.6,1,4,6,5,0,1,4,1,1,4,1,4,0,0,0,1,2,0,1,8
777,Brooke,Blower,Boston University,History,Boston,MA,4.0,100,3.6,0,2,0,0,2,0,2,0,0,0,0,0,2,0,6,0,1,0,1,2
778,Karen,Guendel,Boston University,English,Boston,MA,4.8,60,2.8,2,0,1,2,2,1,2,0,0,0,0,0,1,0,0,0,1,0,0,2
779,Kimberly,Shuckra-Gomez,Boston University,Writing,Boston,MA,4.0,67,2.7,5,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0,6,0,0,3
780,Stephanie,Byttebier,Boston University,Writing,Boston,MA,4.3,N/,3.4,3,0,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2
781,Michael,G.,Boston University,Communication,Boston,MA,4.3,N/,3.4,1,0,0,1,1,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0
782,Larry,Carpman,Boston University,Communication,Boston,MA,4.0,N/,1.9,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,2,1,0,0
783,Murray,Melbin,Boston University,Social Science,Boston,MA,2.7,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,Kenneth,Lutchen,Boston University,Engineering,Boston,MA,3.6,N/,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
785,Scott,Whitaker,Boston University,Science,Boston,MA,3.9,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,Ema,Rosero,Boston University,Languages,Boston,MA,3.9,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787,Rafique,Mughal,Boston University,Anthropology,Boston,MA,3.6,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788,Jean,Wilson,Boston University,English,Boston,MA,3.6,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,Wilfrid,Rollman,Boston University,International Studies,Boston,MA,3.5,N/,3.2,0,2,0,0,1,0,1,2,0,0,0,0,0,0,2,1,0,0,0,0
790,John,Verret,Boston University,Communication,Boston,MA,4.3,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
791,John,Paul,Boston University,Physical Ed,Boston,MA,4.5,N/,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
792,Hal,Reddicliffe,Boston University,Fine Arts,Boston,MA,4.9,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
793,Ronald,Knepper,Boston University,Engineering,Boston,MA,3.2,N/,3.6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
794,Steven,Weigt,Boston University,Music,Boston,MA,3.6,N/,2.8,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0
795,Alicia,Borinsky,Boston University,Languages,Boston,MA,3.2,N/,2.7,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
796,Jennifer,Malone,Boston University,Film,Boston,MA,2.8,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
797,Tian,Cao,Boston University,Philosophy,Boston,MA,2.6,N/,3.6,0,1,0,0,3,2,2,2,0,0,0,0,1,0,0,2,0,0,0,2
798,Linda,Jiorle-Nagy,Boston University,Music,Boston,MA,3.7,N/,2.8,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0
799,Geoffrey,Poister,Boston University,Film,Boston,MA,4.0,N/,1.7,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0
800,Jonathan,Kim,Boston University,Writing,Boston,MA,2.9,N/,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801,Martin,Schmaltz,Boston University,Physics,Boston,MA,4.7,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,Archie,Burnett,Boston University,Literature,Boston,MA,4.0,N/,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,George,Matson,Boston University,Communication,Boston,MA,2.9,N/,2.6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
804,Scott,Mohr,Boston University,Chemistry,Boston,MA,2.2,N/,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,Marina,Khazanov,Boston University,Languages,Boston,MA,3.7,N/,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806,Yin,Chou-Thomas,Boston University,Languages,Boston,MA,2.1,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,Hugh,Baxter,Boston University,Law,Boston,MA,3.5,N/,3.4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
808,Shelly,Hawks,Boston University,Social Science,Boston,MA,3.9,N/,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
809,Ginna,Hall,Boston University,Communication,Boston,MA,4.7,N/,2.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
810,Richard,Raiselis,Boston University,Fine Arts,Boston,MA,4.8,100,3.1,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
811,Brad,Hudson,Boston University,Hospitality,Boston,MA,4.3,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
812,Holly,Schaaf,Boston University,Writing,Boston,MA,4.2,N/,2.6,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0
813,Michael,Otto,Boston University,Psychology,Boston,MA,4.1,N/,2.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
814,Jennifer,Knust,Boston University,Religion,Boston,MA,4.7,N/,3.1,2,3,0,1,3,2,0,2,0,0,0,0,0,0,0,0,2,1,1,0
815,Sigrun,Olafsdottir,Boston University,Sociology,Boston,MA,3.7,N/,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
816,Meta,Wagner,Boston University,Communication,Boston,MA,4.8,N/,2.3,6,3,0,0,0,0,0,4,0,0,0,0,3,0,1,0,2,0,0,1
817,Uri,Eden,Boston University,Ma,Boston,MA,4.3,N/,3.3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
818,Cynthia,Bradham,Boston University,Biology,Boston,MA,4.3,100,3.9,2,0,0,0,0,2,7,1,0,0,0,2,2,0,4,2,1,0,0,1
819,Donna,Pincus,Boston University,Psychology,Boston,MA,4.2,83,2.5,2,3,0,3,1,0,0,0,2,0,0,4,0,0,2,3,5,0,0,0
820,Anthony,Corsentino,Boston University,Philosophy,Boston,MA,4.2,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
821,Taylor,Boas,Boston University,Political Science,Boston,MA,3.6,100,2.9,1,2,0,1,3,0,2,0,0,0,0,1,0,4,0,0,0,0,0,1
822,Kenneth,Parker,Boston University,Business,Boston,MA,3.8,33,2.3,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1
823,Robert,Murowchick,Boston University,Archaeology,Boston,MA,3.4,N/,3.0,2,1,0,1,1,0,3,1,1,0,0,0,1,0,0,2,1,0,0,1
824,Davina,Mattox,Boston University,Languages,Boston,MA,4.9,100,2.2,6,1,1,2,0,7,0,2,0,0,0,2,0,0,1,0,6,0,0,0
825,Shoai,Hattori,Boston University,Neurological Sciences,Boston,MA,4.9,100,2.8,10,10,0,3,1,3,2,4,0,0,0,1,1,0,4,0,9,0,0,1
826,Maxwell,Palmer,Boston University,Political Science,Boston,MA,3.9,64,2.9,0,3,2,0,9,3,2,0,3,2,1,4,0,2,2,4,1,0,0,2
827,Chen,Yang,Boston University,Engineering,Boston,MA,2.3,21,3.9,1,3,5,1,5,1,1,0,3,5,0,1,0,0,0,3,1,6,0,4
828,Peter,Szende,Boston University,Hospitality,Boston,MA,3.9,N/,2.4,0,1,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1
829,Vijay,Kanabar,Boston University,Computer Science,Boston,MA,4.3,N/,2.9,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1
830,Arthur,Hulnick,Boston University,Political Science,Boston,MA,3.8,N/,2.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
831,Sheldon,Toplitt,Boston University,Communication,Boston,MA,3.9,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,Gloria,Callard,Boston University,Biology,Boston,MA,2.2,N/,4.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
833,Karen,Boatman,Boston University,Education,Boston,MA,4.9,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834,Sarah,Frederick,Boston University,Languages,Boston,MA,4.2,N/,2.2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
835,Louis,Ferleger,Boston University,History,Boston,MA,3.0,N/,3.8,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,Kevin,Lang,Boston University,Economics,Boston,MA,3.4,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837,Ray,Carney,Boston University,Film,Boston,MA,3.4,N/,3.6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0
838,Paula,Langton,Boston University,Theater,Boston,MA,4.9,N/,3.8,1,1,0,1,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0
839,Heidi,Gengenbach,Boston University,Humanities,Boston,MA,4.5,N/,3.0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
840,Alberto,Medina,Boston University,Languages,Boston,MA,4.1,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,Susan,Anderson,Boston University,Psychology,Boston,MA,3.0,N/,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842,Bob,Zelnick,Boston University,Communication,Boston,MA,3.6,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
843,Joyce,Macario,Boston University,Graphic Arts,Boston,MA,3.9,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,Sebastian,Bach,Boston University,English,Boston,MA,4.0,N/,3.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
845,Mitchell,Zuckoff,Boston University,Journalism,Boston,MA,4.5,N/,3.0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
846,Joseph,Lippincott,Boston University,Journalism,Boston,MA,3.6,N/,4.4,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,3
847,Victor,Yakhot,Boston University,Engineering,Boston,MA,1.4,N/,4.2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
848,Zvika,Neeman,Boston University,Economics,Boston,MA,3.5,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849,Josh,Yesnowitz,Boston University,Political Science,Boston,MA,3.6,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,Hussain,Haqqani,Boston University,International Studies,Boston,MA,4.5,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851,Gillian,Mason,Boston University,Writing,Boston,MA,4.4,N/,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
852,Boris,Corredor,Boston University,Languages,Boston,MA,3.9,N/,2.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
853,Guillaume,Van,Boston University,Ma,Boston,MA,2.8,N/,3.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
854,Sharon,Portnoff,Boston University,English,Boston,MA,3.9,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
855,John,Miczenowski,Boston University,Chemistry,Boston,MA,4.7,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
856,Mary,Anne,Boston University,English,Boston,MA,3.9,100,3.3,3,2,0,1,1,5,2,0,0,0,0,0,0,0,1,0,0,1,1,3
857,Charles,Henebry,Boston University,Writing,Boston,MA,3.4,N/,3.5,2,1,3,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,2,1
858,Andrew,Reeves,Boston University,Political Science,Boston,MA,4.2,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
859,Surajit,Ray,Boston University,Ma,Boston,MA,2.7,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
860,David,Liebesman,Boston University,Philosophy,Boston,MA,3.1,N/,2.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
861,Jay,Atkinson,Boston University,Communication,Boston,MA,3.5,75,3.2,5,3,0,2,1,3,1,3,1,0,0,0,1,0,1,0,2,0,0,1
862,Srdjan,Divac,Boston University,Ma,Boston,MA,3.3,67,3.4,3,1,4,2,2,2,4,2,0,0,0,1,1,0,6,0,3,0,0,1
863,Erik,Lascaris,Boston University,Physics,Boston,MA,4.4,78,3.4,3,2,1,12,0,1,1,2,0,1,0,0,9,0,4,0,14,0,0,1
864,Jim,French,Boston University,Management,Boston,MA,4.1,80,3.0,2,2,0,2,0,5,0,1,0,0,1,0,0,0,2,0,1,0,0,2
865,Stephanie,Watts,Boston University,Business,Boston,MA,3.7,N/,2.1,3,2,0,1,0,6,1,0,0,0,1,1,1,1,0,0,0,0,0,1
866,Peter,Kaufman,Boston University,Accounting,Boston,MA,3.0,38,3.1,0,0,0,0,2,0,3,0,2,1,0,0,2,6,1,4,0,0,0,4
867,Luis,E,Boston University,Ma,Boston,MA,3.7,N/,3.2,1,2,2,1,0,0,0,0,0,1,3,0,0,0,1,1,0,1,0,0
868,Luluah,Mustafa,Boston University,Languages,Boston,MA,4.8,N/,3.6,0,1,2,0,0,4,2,0,0,0,1,0,0,2,0,0,2,0,0,0
869,Philip,Muirhead,Boston University,Astronomy,Boston,MA,4.1,67,3.3,1,3,2,3,1,0,0,4,0,0,0,2,4,0,6,1,4,0,0,3
870,Mike,Gevelber,Boston University,Engineering,Boston,MA,1.8,N/,3.6,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
871,Robert,Dallek,Boston University,History,Boston,MA,3.9,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
872,Wande,Abimbola,Boston University,Religion,Boston,MA,3.9,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
873,Zvi,Ben-Dor,Boston University,History,Boston,MA,4.5,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
874,Alan,Smith,Boston University,Languages,Boston,MA,3.3,N/,3.5,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1
875,Yolanda,Aguila,Boston University,Languages,Boston,MA,3.4,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
876,Michael,Berlin,Boston University,Communication,Boston,MA,3.0,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
877,John,Bernstein,Boston University,Film,Boston,MA,4.1,N/,2.7,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
878,Joachim,Maitre,Boston University,International Studies,Boston,MA,3.2,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
879,Hamid,Nawab,Boston University,Engineering,Boston,MA,5.0,N/,2.9,4,2,0,2,0,0,0,2,0,0,0,1,0,0,2,0,3,1,0,0
880,H.,Thomas,Boston University,Engineering,Boston,MA,2.7,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
881,Peter,Busher,Boston University,Science,Boston,MA,4.3,N/,3.1,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
882,Eoin,Cannon,Boston University,English,Boston,MA,3.2,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
883,James,Stone,Boston University,Physics,Boston,MA,2.3,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
884,Luis,Chavez,Boston University,Languages,Boston,MA,3.9,N/,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885,George,Kalogeris,Boston University,English,Boston,MA,4.9,N/,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
886,Bernice,Lerner,Boston University,English,Boston,MA,4.6,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
887,Sheldon,Glashow,Boston University,Physics,Boston,MA,3.0,N/,2.3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
888,Tom,Yuill,Boston University,English,Boston,MA,3.8,N/,2.8,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0
889,Elizabeth,Frohlich,Boston University,Languages,Boston,MA,4.5,N/,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
890,Charles,Capper,Boston University,History,Boston,MA,4.3,N/,3.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0
891,Li,Hui,Boston University,Business,Boston,MA,3.2,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
892,Dmitrije,Stamenovic,Boston University,Engineering,Boston,MA,2.3,N/,3.5,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
893,Ani,Dasgupta,Boston University,Economics,Boston,MA,4.0,N/,4.7,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3
894,David,Griswold,Boston University,Finance,Boston,MA,4.7,N/,2.4,0,3,1,0,0,0,0,3,0,0,1,3,0,0,1,1,5,0,0,0
895,Kristin,Smith,Boston University,Writing,Boston,MA,4.2,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
896,Timothy,Heeren,Boston University,Ma,Boston,MA,4.6,N/,2.2,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0
897,Nick,Washienko,Boston University,Hospitality,Boston,MA,4.6,N/,2.7,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0
898,Joyce,Wong,Boston University,Engineering,Boston,MA,3.8,N/,1.8,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,1,1,0,0,0
899,Loubomir,Chitkushev,Boston University,Computer Science,Boston,MA,3.0,N/,4.0,1,4,1,0,0,0,1,0,0,0,0,2,0,2,2,0,0,0,0,2
900,Susanne,Werk,Boston University,Languages,Boston,MA,4.5,100,2.8,3,0,2,1,0,5,2,0,0,0,0,0,1,0,1,0,3,0,0,0
901,Deanna,Pellecchia,Boston University,Physical Ed,Boston,MA,4.7,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
902,Rock,Magleby-Lambert,Boston University,Economics,Boston,MA,4.2,N/,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
903,Scout,Stevenson,Boston University,Design,Boston,MA,3.9,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
904,Irit,Kleiman,Boston University,Languages,Boston,MA,4.0,N/,3.1,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
905,Janusz,Konrad,Boston University,Engineering,Boston,MA,4.4,N/,3.4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
906,Sergio,Fagherazzi,Boston University,Earth Science,Boston,MA,3.8,N/,1.9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
907,George,Papadakis,Boston University,Accounting,Boston,MA,4.1,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
908,Matt,Cartmill,Boston University,Anthropology,Boston,MA,4.0,N/,3.2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0
909,Emily,Hudson,Boston University,Religion,Boston,MA,3.3,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
910,Thomas,Finan,Boston University,Humanities,Boston,MA,4.4,88,3.1,1,1,0,0,3,1,0,0,2,0,0,0,2,2,3,0,3,0,0,6
911,Benjamin,Siegel,Boston University,History,Boston,MA,4.5,N/,2.9,9,9,0,0,5,1,2,0,0,0,0,1,3,0,4,0,2,0,2,0
912,George,Vahamikos,Boston University,English,Boston,MA,4.5,87,3.1,13,1,1,6,3,1,0,2,1,0,0,0,2,0,3,1,8,0,0,2
913,Martin,Herbordt,Boston University,Engineering,Boston,MA,4.0,100,3.6,1,2,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1
914,Jae,Young,Boston University,Computer Science,Boston,MA,2.7,33,4.0,0,0,6,0,5,0,1,0,1,3,0,0,0,0,1,4,0,0,0,3
915,Matt,Stokes,Boston University,English,Boston,MA,4.3,100,2.8,2,1,0,1,2,3,0,1,1,0,0,0,1,0,0,0,3,0,0,1
916,Ana,Albuquerque,Boston University,Accounting,Boston,MA,3.7,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917,Nelina,Backman,Boston University,Writing,Boston,MA,2.1,N/,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2
918,Doug,Zook,Boston University,Education,Boston,MA,4.1,N/,3.6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
919,Paul,Berger,Boston University,Marketing,Boston,MA,3.6,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
920,Ross,Wolin,Boston University,Writing,Boston,MA,3.5,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
921,Bennett,Goldberg,Boston University,Physics,Boston,MA,3.1,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922,Zayd,Dohrn,Boston University,English,Boston,MA,4.4,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
923,Deborah,Swedberg,Boston University,Women's Studies,Boston,MA,2.8,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
924,Robert,Jackson,Boston University,Political Science,Boston,MA,3.5,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,Carol,Findell,Boston University,Education,Boston,MA,4.2,N/,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926,Michael,Moody,Boston University,Social Science,Boston,MA,4.0,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927,Vincent,Dionne,Boston University,Biology,Boston,MA,3.6,N/,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
928,Joseph,Breines,Boston University,Languages,Boston,MA,4.5,N/,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
929,Cassandra,Smith,Boston University,Engineering,Boston,MA,1.9,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
930,Mary,Jane,Boston University,Film,Boston,MA,3.4,N/,2.9,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1
931,Jeff,Kline,Boston University,Languages,Boston,MA,4.6,N/,2.3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0
