FN,LN,School,Department,City,State,OQ,WTA,LOD,gives good feedback,respected,lots of homework,accessible outside class,get ready to read,participation matters,skip class? you won't pass.,inspirational,graded by few things,test heavy,group projects,clear grading criteria,hilarious,beware of pop quizzes,amazing lectures,lecture heavy,caring,extra credit,so many papers,tough grader,number of comments,prof_id,num_female_words,num_male_words,percent_female,gender
Ginna,Hall,Boston University,Communication,Boston,MA,4.7,N/,2.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,19,594681,709,0,1,female
Richard,Raiselis,Boston University,Fine Arts,Boston,MA,4.8,100,3.1,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,19,723621,0,355,0,male
Brad,Hudson,Boston University,Hospitality,Boston,MA,4.3,N/,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,768492,0,429,0,male
Holly,Schaaf,Boston University,Writing,Boston,MA,4.2,N/,2.6,2,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,19,925938,491,0,1,female
Michael,Otto,Boston University,Psychology,Boston,MA,4.1,N/,2.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,19,960270,0,265,0,male
Jennifer,Knust,Boston University,Religion,Boston,MA,4.7,N/,3.1,2,3,0,1,3,2,0,2,0,0,0,0,0,0,0,0,2,1,1,0,19,987584,642,16,0.975683891,female
Sigrun,Olafsdottir,Boston University,Sociology,Boston,MA,3.7,N/,2.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,1045609,406,0,1,female
Meta,Wagner,Boston University,Communication,Boston,MA,4.8,N/,2.3,6,3,0,0,0,0,0,4,0,0,0,0,3,0,1,0,2,0,0,1,19,1114204,638,4,0.99376947,female
Uri,Eden,Boston University,Ma,Boston,MA,4.3,N/,3.3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,19,1201440,0,279,0,male
Cynthia,Bradham,Boston University,Biology,Boston,MA,4.3,100,3.9,2,0,0,0,0,2,7,1,0,0,0,2,2,0,4,2,1,0,0,1,19,1215772,812,0,1,female
Donna,Pincus,Boston University,Psychology,Boston,MA,4.2,83,2.5,2,3,0,3,1,0,0,0,2,0,0,4,0,0,2,3,5,0,0,0,19,1283929,540,0,1,female
Anthony,Corsentino,Boston University,Philosophy,Boston,MA,4.2,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1322559,0,469,0,male
Taylor,Boas,Boston University,Political Science,Boston,MA,3.6,100,2.9,1,2,0,1,3,0,2,0,0,0,0,1,0,4,0,0,0,0,0,1,19,1525814,0,268,0,male
Kenneth,Parker,Boston University,Business,Boston,MA,4,43,2.3,0,0,3,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,1,20,1557692,0,410,0,male
Robert,Murowchick,Boston University,Archaeology,Boston,MA,3.4,N/,3,2,1,0,1,1,0,3,1,1,0,0,0,1,0,0,2,1,0,0,1,19,1595191,0,189,0,male
Davina,Mattox,Boston University,Languages,Boston,MA,4.9,100,2.2,6,1,1,2,0,7,0,2,0,0,0,2,0,0,1,0,6,0,0,0,19,1671530,743,0,1,female
Shoai,Hattori,Boston University,Neurological Sciences,Boston,MA,4.9,100,2.8,10,10,0,3,1,3,2,4,0,0,0,1,1,0,4,0,9,0,0,1,19,1957525,0,514,0,male
Maxwell,Palmer,Boston University,Political Science,Boston,MA,3.9,64,2.9,0,3,2,0,9,3,2,0,3,2,1,4,0,2,2,4,1,0,0,2,19,1933456,0,348,0,male
Chen,Yang,Boston University,Engineering,Boston,MA,2.3,21,3.9,1,3,5,1,5,1,1,0,3,5,0,1,0,0,0,3,1,6,0,4,19,2405324,323,0,1,female
Peter,Szende,Boston University,Hospitality,Boston,MA,3.9,N/,2.4,0,1,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,19,313122,0,356,0,male
Vijay,Kanabar,Boston University,Computer Science,Boston,MA,4.3,N/,2.9,2,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,19,262419,0,166,0,male
Arthur,Hulnick,Boston University,Political Science,Boston,MA,3.8,N/,2.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,68959,0,196,0,male
Sheldon,Toplitt,Boston University,Communication,Boston,MA,3.9,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,68991,0,276,0,male
Gloria,Callard,Boston University,Biology,Boston,MA,2.2,N/,4.2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,76419,411,0,1,female
Karen,Boatman,Boston University,Education,Boston,MA,4.9,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,86879,351,0,1,female
Sarah,Frederick,Boston University,Languages,Boston,MA,4.2,N/,2.2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,18,112626,429,0,1,female
Louis,Ferleger,Boston University,History,Boston,MA,3,N/,3.8,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,119216,0,431,0,male
Kevin,Lang,Boston University,Economics,Boston,MA,3.4,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,123846,0,239,0,male
Ray,Carney,Boston University,Film,Boston,MA,3.4,N/,3.6,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,18,135418,0,328,0,male
Paula,Langton,Boston University,Theater,Boston,MA,4.9,N/,3.8,1,1,0,1,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,18,151892,206,0,1,female
Heidi,Gengenbach,Boston University,Humanities,Boston,MA,4.5,N/,3,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,172008,427,0,1,female
Alberto,Medina,Boston University,Languages,Boston,MA,4.1,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,176001,0,282,0,male
Susan,Anderson,Boston University,Psychology,Boston,MA,3,N/,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,185611,341,0,1,female
Bob,Zelnick,Boston University,Communication,Boston,MA,3.6,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,191370,0,326,0,male
Joyce,Macario,Boston University,Graphic Arts,Boston,MA,3.9,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,209082,555,0,1,female
Sebastian,Bach,Boston University,English,Boston,MA,4,N/,3.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,225591,0,130,0,male
Mitchell,Zuckoff,Boston University,Journalism,Boston,MA,4.5,N/,3,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,18,237654,0,310,0,male
Joseph,Lippincott,Boston University,Journalism,Boston,MA,3.6,N/,4.4,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,3,18,240472,15,447,0.032467532,male
Victor,Yakhot,Boston University,Engineering,Boston,MA,1.4,N/,4.2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,18,360040,0,427,0,male
Zvika,Neeman,Boston University,Economics,Boston,MA,3.5,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,407780,0,264,0,male
Josh,Yesnowitz,Boston University,Political Science,Boston,MA,3.6,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,427416,0,407,0,male
Hussain,Haqqani,Boston University,International Studies,Boston,MA,4.5,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,469333,0,500,0,male
Gillian,Mason,Boston University,Writing,Boston,MA,4.4,N/,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,503077,606,0,1,female
Boris,Corredor,Boston University,Languages,Boston,MA,3.9,N/,2.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,18,520128,0,449,0,male
Guillaume,Van,Boston University,Ma,Boston,MA,2.8,N/,3.3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,585912,0,303,0,male
Sharon,Portnoff,Boston University,English,Boston,MA,3.9,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,702610,418,0,1,female
John,Miczenowski,Boston University,Chemistry,Boston,MA,4.7,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,767383,0,391,0,male
Mary,Anne,Boston University,English,Boston,MA,3.9,100,3.3,3,2,0,1,1,5,2,0,0,0,0,0,0,0,1,0,0,1,1,3,18,778751,489,0,1,female
Charles,Henebry,Boston University,Writing,Boston,MA,3.4,N/,3.5,2,1,3,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,2,1,18,1052642,0,529,0,male
Andrew,Reeves,Boston University,Political Science,Boston,MA,4.2,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1200764,0,413,0,male
Surajit,Ray,Boston University,Ma,Boston,MA,2.7,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1232733,0,300,0,male
David,Liebesman,Boston University,Philosophy,Boston,MA,3.1,N/,2.6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18,1378257,0,339,0,male
Jay,Atkinson,Boston University,Communication,Boston,MA,3.5,75,3.2,5,3,0,2,1,3,1,3,1,0,0,0,1,0,1,0,2,0,0,1,19,1575819,0,530,0,male
Srdjan,Divac,Boston University,Ma,Boston,MA,3.3,67,3.4,3,1,4,2,2,2,4,2,0,0,0,1,1,0,6,0,3,0,0,1,18,1923726,0,512,0,male
Erik,Lascaris,Boston University,Physics,Boston,MA,4.4,78,3.4,3,2,1,12,0,1,1,2,0,1,0,0,9,0,4,0,14,0,0,1,18,2188879,0,648,0,male
Jim,French,Boston University,Management,Boston,MA,4.1,80,3,2,2,0,2,0,5,0,1,0,0,1,0,0,0,2,0,1,0,0,2,18,319538,0,539,0,male
Stephanie,Watts,Boston University,Business,Boston,MA,3.7,N/,2.1,3,2,0,1,0,6,1,0,0,0,1,1,1,1,0,0,0,0,0,1,18,263924,409,0,1,female
Peter,Kaufman,Boston University,Accounting,Boston,MA,3,38,3.1,0,0,0,0,2,0,3,0,2,1,0,0,2,6,1,4,0,0,0,4,18,788800,0,382,0,male
Luis,E,Boston University,Ma,Boston,MA,3.7,N/,3.2,1,2,2,1,0,0,0,0,0,1,3,0,0,0,1,1,0,1,0,0,18,1360472,0,329,0,male
Luluah,Mustafa,Boston University,Languages,Boston,MA,4.8,N/,3.6,0,1,2,0,0,4,2,0,0,0,1,0,0,2,0,0,2,0,0,0,18,1619481,576,0,1,female
Philip,Muirhead,Boston University,Astronomy,Boston,MA,4.1,67,3.3,1,3,2,3,1,0,0,4,0,0,0,2,4,0,6,1,4,0,0,3,18,1966831,0,214,0,male
Mike,Gevelber,Boston University,Engineering,Boston,MA,1.8,N/,3.6,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,18,492504,0,389,0,male
Robert,Dallek,Boston University,History,Boston,MA,3.9,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,67889,0,104,0,male
Wande,Abimbola,Boston University,Religion,Boston,MA,3.9,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,67975,0,102,0,male
Zvi,Ben-Dor,Boston University,History,Boston,MA,4.5,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,68575,0,88,0,male
Alan,Smith,Boston University,Languages,Boston,MA,3.3,N/,3.5,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,17,68995,0,409,0,male
Yolanda,Aguila,Boston University,Languages,Boston,MA,3.4,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,75946,251,0,1,female
Michael,Berlin,Boston University,Communication,Boston,MA,3,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,92962,0,301,0,male
John,Bernstein,Boston University,Film,Boston,MA,4.1,N/,2.7,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,17,96533,0,299,0,male
Joachim,Maitre,Boston University,International Studies,Boston,MA,3.2,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,97213,0,225,0,male
Hamid,Nawab,Boston University,Engineering,Boston,MA,5,N/,2.9,4,2,0,2,0,0,0,2,0,0,0,1,0,0,2,0,3,1,0,0,17,131471,0,189,0,male
H.,Thomas,Boston University,Engineering,Boston,MA,2.7,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,133641,0,115,0,male
Peter,Busher,Boston University,Science,Boston,MA,4.3,N/,3.1,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,17,135471,0,310,0,male
Eoin,Cannon,Boston University,English,Boston,MA,3.2,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,168868,0,301,0,male
James,Stone,Boston University,Physics,Boston,MA,2.3,N/,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,169736,0,169,0,male
Luis,Chavez,Boston University,Languages,Boston,MA,3.9,N/,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,175570,0,381,0,male
George,Kalogeris,Boston University,English,Boston,MA,4.9,N/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,175596,0,234,0,male
Bernice,Lerner,Boston University,English,Boston,MA,4.6,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,181142,432,0,1,female
Sheldon,Glashow,Boston University,Physics,Boston,MA,3,N/,2.3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,191019,0,430,0,male
Tom,Yuill,Boston University,English,Boston,MA,3.8,N/,2.8,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,17,254282,10,337,0.028818444,male
Elizabeth,Frohlich,Boston University,Languages,Boston,MA,4.5,N/,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,274904,346,0,1,female
Charles,Capper,Boston University,History,Boston,MA,4.3,N/,3.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,17,276202,0,275,0,male
Li,Hui,Boston University,Business,Boston,MA,3.2,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,17,360591,436,0,1,female
Dmitrije,Stamenovic,Boston University,Engineering,Boston,MA,2.3,N/,3.5,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,17,394811,0,237,0,male
Ani,Dasgupta,Boston University,Economics,Boston,MA,4,N/,4.7,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,17,411172,0,156,0,male
David,Griswold,Boston University,Finance,Boston,MA,4.7,N/,2.4,0,3,1,0,0,0,0,3,0,0,1,3,0,0,1,1,5,0,0,0,17,428169,0,188,0,male
Kristin,Smith,Boston University,Writing,Boston,MA,4.2,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,450091,347,0,1,female
Timothy,Heeren,Boston University,Ma,Boston,MA,4.6,N/,2.2,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,17,465554,0,198,0,male
Nick,Washienko,Boston University,Hospitality,Boston,MA,4.6,N/,2.7,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,2,0,0,0,0,17,489263,0,229,0,male
Joyce,Wong,Boston University,Engineering,Boston,MA,3.8,N/,1.8,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,1,1,0,0,0,17,492644,244,0,1,female
Loubomir,Chitkushev,Boston University,Computer Science,Boston,MA,3,N/,4,1,4,1,0,0,0,1,0,0,0,0,2,0,2,2,0,0,0,0,2,17,540820,0,118,0,male
Susanne,Werk,Boston University,Languages,Boston,MA,4.5,100,2.8,3,0,2,1,0,5,2,0,0,0,0,0,1,0,1,0,3,0,0,0,17,599472,422,0,1,female
Deanna,Pellecchia,Boston University,Physical Ed,Boston,MA,4.7,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,636819,380,0,1,female
Rock,Magleby-Lambert,Boston University,Economics,Boston,MA,4.2,N/,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,647580,28,179,0.1352657,male
Scout,Stevenson,Boston University,Design,Boston,MA,3.9,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,909796,0,225,0,male
Irit,Kleiman,Boston University,Languages,Boston,MA,4,N/,3.1,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,937901,516,0,1,female
Janusz,Konrad,Boston University,Engineering,Boston,MA,4.4,N/,3.4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,17,957476,0,157,0,male
Sergio,Fagherazzi,Boston University,Earth Science,Boston,MA,3.8,N/,1.9,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,17,975148,0,387,0,male
George,Papadakis,Boston University,Accounting,Boston,MA,4.1,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1185005,0,337,0,male
Matt,Cartmill,Boston University,Anthropology,Boston,MA,4,N/,3.2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,17,1225543,0,372,0,male
Emily,Hudson,Boston University,Religion,Boston,MA,3.3,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1513407,438,0,1,female
Thomas,Finan,Boston University,Humanities,Boston,MA,4.4,88,3.1,1,1,0,0,3,1,0,0,2,0,0,0,2,2,3,0,3,0,0,6,17,1626427,0,484,0,male
Benjamin,Siegel,Boston University,History,Boston,MA,4.5,N/,2.9,9,9,0,0,5,1,2,0,0,0,0,1,3,0,4,0,2,0,2,0,17,1927033,0,374,0,male
George,Vahamikos,Boston University,English,Boston,MA,4.5,87,3.1,13,1,1,6,3,1,0,2,1,0,0,0,2,0,3,1,8,0,0,2,17,2002702,0,334,0,male
Martin,Herbordt,Boston University,Engineering,Boston,MA,4,100,3.6,1,2,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,17,776196,0,151,0,male
Jae,Young,Boston University,Computer Science,Boston,MA,2.7,33,4,0,0,6,0,5,0,1,0,1,3,0,0,0,0,1,4,0,0,0,3,17,1309501,0,299,0,male
Matt,Stokes,Boston University,English,Boston,MA,4.3,100,2.8,2,1,0,1,2,3,0,1,1,0,0,0,1,0,0,0,3,0,0,1,17,1121477,0,462,0,male
Ana,Albuquerque,Boston University,Accounting,Boston,MA,3.7,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,817315,371,15,0.961139896,female
Nelina,Backman,Boston University,Writing,Boston,MA,2.1,N/,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,17,736919,354,0,1,female
Doug,Zook,Boston University,Education,Boston,MA,4.1,N/,3.6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,20675,0,141,0,male
Paul,Berger,Boston University,Marketing,Boston,MA,3.6,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,55798,0,225,0,male
Ross,Wolin,Boston University,Writing,Boston,MA,3.5,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,60417,0,235,0,male
Bennett,Goldberg,Boston University,Physics,Boston,MA,3.1,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,69699,0,160,0,male
Zayd,Dohrn,Boston University,English,Boston,MA,4.4,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,69825,0,204,0,male
Deborah,Swedberg,Boston University,Women's Studies,Boston,MA,2.8,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,75963,276,0,1,female
Robert,Jackson,Boston University,Political Science,Boston,MA,3.5,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,75967,0,241,0,male
Carol,Findell,Boston University,Education,Boston,MA,4.2,N/,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,81209,149,0,1,female
Michael,Moody,Boston University,Social Science,Boston,MA,4,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,87564,0,68,0,male
Vincent,Dionne,Boston University,Biology,Boston,MA,3.6,N/,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,102738,0,221,0,male
Joseph,Breines,Boston University,Languages,Boston,MA,4.5,N/,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,115454,0,243,0,male
Cassandra,Smith,Boston University,Engineering,Boston,MA,1.9,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,131488,209,0,1,female
Mary,Jane,Boston University,Film,Boston,MA,3.4,N/,2.9,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,16,135416,382,0,1,female
Jeff,Kline,Boston University,Languages,Boston,MA,4.6,N/,2.3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,16,169929,0,392,0,male
Ana,Yanez,Boston University,Languages,Boston,MA,3.6,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,177892,326,0,1,female
Frank,Nisetich,Boston University,Classics,Boston,MA,3.3,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,195283,0,305,0,male
Norman,Hammond,Boston University,Archaeology,Boston,MA,2.6,N/,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,210021,19,244,0.072243346,male
Salvatore,Scibona,Boston University,Writing,Boston,MA,3.5,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,248439,0,197,0,male
Thomas,Bifano,Boston University,Engineering,Boston,MA,3.4,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,254940,0,133,0,male
Kevin,Gallagher,Boston University,International Studies,Boston,MA,4.3,N/,2.5,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,16,275157,0,253,0,male
James,McCann,Boston University,History,Boston,MA,3.8,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,282977,0,183,0,male
Darrell,Herbert,Boston University,Biology,Boston,MA,2.6,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,285475,0,297,0,male
Daphne,Kalotay,Boston University,Writing,Boston,MA,4.4,N/,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,291399,388,0,1,female
Angela,Seliga,Boston University,Biology,Boston,MA,3,N/,3.9,1,0,2,0,0,1,3,1,0,0,0,0,0,4,0,1,0,0,0,8,16,297377,394,0,1,female
Qianshen,Bai,Boston University,Art History,Boston,MA,3.5,N/,3.3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,16,305886,0,208,0,male
Robert,Weller,Boston University,Anthropology,Boston,MA,4.8,N/,2.7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,319347,0,224,0,male
Stan,Sclaroff,Boston University,Computer Science,Boston,MA,3.9,N/,4.1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,16,356837,0,153,0,male
Lisa,Hinrichsen,Boston University,Writing,Boston,MA,3.7,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,375948,218,0,1,female
Safoura,Rafeizadeh,Boston University,Journalism,Boston,MA,2.3,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,437108,471,0,1,female
Carrie,McGrory,Boston University,Writing,Boston,MA,4.7,N/,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,478005,470,0,1,female
Jesse,Dann,Boston University,Science,Boston,MA,1.6,N/,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,481479,0,349,0,male
Wendy,Pickett,Boston University,English,Boston,MA,3.5,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,491203,338,0,1,female
Christopher,Maurer,Boston University,Languages,Boston,MA,3.9,N/,3.3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,16,507274,0,340,0,male
Tom,Castonguay,Boston University,Chemistry,Boston,MA,3.5,N/,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,512976,0,265,0,male
Elizabeth,Blanton,Boston University,Astronomy,Boston,MA,3.6,N/,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,568978,317,0,1,female
Robert,Manoff,Boston University,Journalism,Boston,MA,3.6,N/,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,581849,0,331,0,male
Shiela,Kibbe,Boston University,Psychology,Boston,MA,2.4,N/,3.3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,16,599630,378,0,1,female
T.,Barton,Boston University,Communication,Boston,MA,2.7,67,3.8,0,2,0,1,4,0,2,0,0,2,0,0,0,0,0,4,0,0,1,3,16,620721,0,221,0,male
Mary,Ellen,Boston University,Criminal Justice,Boston,MA,3.8,N/,2.6,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,2,0,2,2,16,636142,393,0,1,female
Philimon,Gona,Boston University,Ma,Boston,MA,3.4,N/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,710481,0,271,0,male
Theirry,Guedj,Boston University,Psychology,Boston,MA,4,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,743596,0,113,0,male
Jeannie,IM,Boston University,Writing,Boston,MA,3.3,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,747436,424,0,1,female
Roberta,Micallef,Boston University,Languages,Boston,MA,4.7,N/,2.7,2,2,0,2,4,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,16,780162,591,0,1,female
Victor,Coelho,Boston University,Music,Boston,MA,3.3,N/,2.9,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,16,878409,26,347,0.069705094,male
